Time;User full name;Action;Information
17.12.2013 15:33;507245;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 15:28;393650;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31827);Exercise 7
17.12.2013 15:28;746018;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 15:27;393650;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 15:27;393650;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 15:27;746018;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33385);Slides from the Lecture Chapter 7 (part2)
17.12.2013 15:26;746018;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=27672);Slides from the lecture chapter 4
17.12.2013 15:26;507245;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33435);Material for homework 7
17.12.2013 15:26;507245;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 15:26;507245;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 15:26;507245;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 15:25;507245;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 15:22;251814;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 15:17;393650;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 15:14;786144;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 15:13;932187;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 15:13;932187;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 15:12;639378;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 15:12;967490;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 15:10;488207;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 15:07;869143;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 15:07;869143;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 15:07;507245;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 15:05;983015;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:58;768011;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33435);Material for homework 7
17.12.2013 14:58;768011;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:57;786144;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33435);Material for homework 7
17.12.2013 14:50;983015;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=15993);Vorlesungsfolien Kapitel 7 (Teil 1)
17.12.2013 14:50;604640;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33385);Slides from the Lecture Chapter 7 (part2)
17.12.2013 14:50;604640;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:44;604640;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 14:44;604640;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:33;942703;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:32;251814;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 14:32;251814;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31827);Exercise 7
17.12.2013 14:32;154148;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:32;154148;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=30949);Vorlesungsfolien Kapitel 6 (Teil 2)
17.12.2013 14:32;154148;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:32;251814;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:32;154148;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=32307);Vorlesungsfolien Kapitel 6 (Teil 3)
17.12.2013 14:31;154148;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:31;154148;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=15993);Vorlesungsfolien Kapitel 7 (Teil 1)
17.12.2013 14:31;154148;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:31;154148;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=15993);Vorlesungsfolien Kapitel 7 (Teil 1)
17.12.2013 14:31;154148;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33435);Material for homework 7
17.12.2013 14:31;154148;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:30;746018;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:30;568514;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 14:30;154148;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 14:29;154148;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:29;268318;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:25;746018;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33435);Material for homework 7
17.12.2013 14:25;746018;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 14:25;746018;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:24;786144;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31828);Material for exercise 7
17.12.2013 14:23;786144;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31827);Exercise 7
17.12.2013 14:23;711945;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31827);Exercise 7
17.12.2013 14:23;786144;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33435);Material for homework 7
17.12.2013 14:22;786144;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 14:21;869143;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31828);Material for exercise 7
17.12.2013 14:20;869143;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31827);Exercise 7
17.12.2013 14:20;865280;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:19;209217;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:18;209217;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 14:18;209217;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:18;906965;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:17;906965;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:17;568514;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31827);Exercise 7
17.12.2013 14:17;209217;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 14:16;209217;assign submit (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);Submission status: Submitted for grading. The number of file(s) : 1 file(s).
17.12.2013 14:16;209217;assign view submit assignment form (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submit assignment page.
17.12.2013 14:16;639378;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:15;568514;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:15;711945;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 14:15;711945;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:15;983015;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31827);Exercise 7
17.12.2013 14:14;196354;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31828);Material for exercise 7
17.12.2013 14:14;209217;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 14:14;209217;assign submit (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);Submission status: Submitted for grading. The number of file(s) : 1 file(s).
17.12.2013 14:14;196354;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31827);Exercise 7
17.12.2013 14:14;268318;assign submit (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);Submission status: Submitted for grading. The number of file(s) : 1 file(s).
17.12.2013 14:14;268318;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 14:14;196354;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:13;268318;assign view submit assignment form (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submit assignment page.
17.12.2013 14:13;967490;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:13;196354;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31827);Exercise 7
17.12.2013 14:13;268318;assign view submit assignment form (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submit assignment page.
17.12.2013 14:13;209217;assign view submit assignment form (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submit assignment page.
17.12.2013 14:13;209217;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 14:13;983015;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:13;865280;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31828);Material for exercise 7
17.12.2013 14:13;865280;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31827);Exercise 7
17.12.2013 14:13;983015;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31827);Exercise 7
17.12.2013 14:12;209217;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:12;865280;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:12;268318;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 14:12;268318;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:11;983015;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33435);Material for homework 7
17.12.2013 14:11;983015;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 14:11;639378;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 14:11;786144;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:11;983015;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:11;639378;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33435);Material for homework 7
17.12.2013 14:10;639378;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:10;786144;assign submit (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);Submission status: Submitted for grading. The number of file(s) : 1 file(s).
17.12.2013 14:10;196354;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33435);Material for homework 7
17.12.2013 14:10;786144;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 14:10;746018;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 14:10;746018;assign submit (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);Submission status: Submitted for grading. The number of file(s) : 1 file(s).
17.12.2013 14:10;786144;assign view submit assignment form (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submit assignment page.
17.12.2013 14:10;786144;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 14:10;746018;assign view submit assignment form (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submit assignment page.
17.12.2013 14:10;639378;hotpot view (https://www.isis.tu-berlin.de/2.0/mod/hotpot/view.php?id=32533);Midterm Exam (One Try Only!)
17.12.2013 14:10;746018;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 14:10;196354;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 14:09;746018;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:09;746018;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:09;196354;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:09;196354;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 14:09;196354;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:09;639378;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 14:07;801650;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33435);Material for homework 7
17.12.2013 14:06;829473;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31827);Exercise 7
17.12.2013 14:06;801650;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
